"","model1_ASC","model1_DES","model2_ASC","model2_DES","model3_ASC","model3_DES","model4_ASC","model4_DES"
"d__Bacteria--p__Firmicutes",0.914957714582519,0.718829168449069,0.624334955169324,0.481851724961234,0.972317812084386,0.811922256048907,0.974817410519871,0.750485280044071
"d__Bacteria--p__Firmicutes--c__Clostridia",0.915335264728382,0.753292133584511,0.624334955169324,0.500996866296099,0.948775914096762,0.784475665170311,0.942134803241546,0.739985227664105
"d__Bacteria--p__Firmicutes--c__Clostridia--o__Clostridiales",0.915335264728382,0.753292133584511,0.624334955169324,0.500996866296099,0.948775914096762,0.784475665170311,0.942134803241546,0.739985227664105
"d__Bacteria--p__Firmicutes--c__Clostridia--o__Clostridiales--f__Lachnospiraceae",0.517744850821231,0.585020471994395,0.316768267434683,0.341373242045325,0.761818795098106,0.663026878237941,0.8325899324942,0.565959207486402
"d__Bacteria--p__Bacteroidetes",0.878882403567745,0.783826297779972,0.728491274813583,0.709830661881296,0.948775914096762,0.905090332197857,0.942134803241546,0.85932442808089
"d__Bacteria--p__Bacteroidetes--c__Bacteroidia",0.878882403567745,0.783826297779972,0.728491274813583,0.709830661881296,0.948775914096762,0.905090332197857,0.942134803241546,0.85932442808089
"d__Bacteria--p__Bacteroidetes--c__Bacteroidia--o__Bacteroidales",0.903703808335603,0.78527898472448,0.750726413439846,0.710590800641928,0.948775914096762,0.905090332197857,0.942134803241546,0.85932442808089
"d__Bacteria--p__Bacteroidetes--c__Bacteroidia--o__Bacteroidales--f__Bacteroidaceae",0.993059764925697,0.753292133584511,0.971593788948506,0.821339321731877,0.948775914096762,0.745072747796388,0.967645755779073,0.800751702537585
"d__Bacteria--p__Bacteroidetes--c__Bacteroidia--o__Bacteroidales--f__Bacteroidaceae--g__Bacteroides",0.993059764925697,0.753292133584511,0.971593788948506,0.821339321731877,0.948775914096762,0.745072747796388,0.967645755779073,0.800751702537585
"d__Bacteria--p__Firmicutes--c__Clostridia--o__Clostridiales--f__Lachnospiraceae--__",0.811943319915467,0.841957589057247,0.514548704953512,0.67853564693029,0.927489762121745,0.784475665170311,0.922467638230702,0.739985227664105
"d__Bacteria--p__Firmicutes--c__Clostridia--o__Clostridiales--f__Lachnospiraceae--__--__",0.811943319915467,0.841957589057247,0.514548704953512,0.67853564693029,0.927489762121745,0.784475665170311,0.922467638230702,0.739985227664105
"d__Bacteria--p__Bacteroidetes--c__Bacteroidia--o__Bacteroidales--f__Bacteroidaceae--g__Bacteroides--__",0.942180384632749,0.736047223709346,0.989803132481259,0.778827597714816,0.948775914096762,0.678745012918447,0.942134803241546,0.739985227664105
"d__Bacteria--p__Proteobacteria",0.257502310595755,0.0634424310454139,0.177512978192493,0.0453645112452467,0.36908425779482,0.196297527603194,0.27901238317523,0.210065255489433
"d__Bacteria--p__Proteobacteria--c__Gammaproteobacteria",0.257502310595755,0.0634424310454139,0.177512978192493,0.0453645112452467,0.36908425779482,0.19592695135901,0.27901238317523,0.210065255489433
"d__Bacteria--p__Proteobacteria--c__Gammaproteobacteria--o__Enterobacteriales",0.279404543441816,0.158084276085265,0.177512978192493,0.0812384458312375,0.406800620467252,0.300476638545172,0.297767881711055,0.322099673487228
"d__Bacteria--p__Proteobacteria--c__Gammaproteobacteria--o__Enterobacteriales--f__Enterobacteriaceae",0.279404543441816,0.158084276085265,0.177512978192493,0.0812384458312375,0.406800620467252,0.300476638545172,0.297767881711055,0.322099673487228
"d__Bacteria--p__Firmicutes--c__Clostridia--o__Clostridiales--f__Ruminococcaceae",0.546095055433922,0.736047223709346,0.692804565910114,0.778827597714816,0.749922261816453,0.672942735112028,0.903272733944685,0.749837522462664
"d__Bacteria--p__Proteobacteria--c__Gammaproteobacteria--o__Enterobacteriales--f__Enterobacteriaceae--g__Escherichia-Shigella",0.369216185106367,0.283670942763047,0.242271712762062,0.156187748844959,0.406800620467252,0.375068755977475,0.395226952992669,0.365778719035481
"d__Bacteria--p__Proteobacteria--c__Gammaproteobacteria--o__Enterobacteriales--f__Enterobacteriaceae--g__Escherichia-Shigella--__",0.369216185106367,0.283670942763047,0.242271712762062,0.156187748844959,0.406800620467252,0.375068755977475,0.395226952992669,0.365778719035481
"d__Bacteria--p__Firmicutes--c__Clostridia--o__Clostridiales--f__Ruminococcaceae--g__Faecalibacterium",0.369216185106367,0.352320386562001,0.510302265752177,0.458399149423032,0.406800620467252,0.236315880798361,0.641094183358242,0.406386350016424
"d__Bacteria--p__Firmicutes--c__Clostridia--o__Clostridiales--f__Ruminococcaceae--g__Faecalibacterium--__",0.369216185106367,0.352320386562001,0.510302265752177,0.458399149423032,0.406800620467252,0.236315880798361,0.641094183358242,0.406386350016424
"d__Bacteria--p__Firmicutes--c__Negativicutes",0.942180384632749,0.841957589057247,0.969007959568826,0.820468413355456,0.948775914096762,0.773259441270611,0.903272733944685,0.739985227664105
"d__Bacteria--p__Firmicutes--c__Negativicutes--o__Selenomonadales",0.942180384632749,0.841957589057247,0.969007959568826,0.820468413355456,0.948775914096762,0.773259441270611,0.903272733944685,0.739985227664105
"d__Bacteria--p__Actinobacteria",0.361075055298802,0.0677588735598745,0.305749794542829,0.0607136647546812,0.459009988746809,0.196297527603194,0.664332685248524,0.301172609356798
"d__Bacteria--p__Firmicutes--c__Negativicutes--o__Selenomonadales--f__Veillonellaceae",0.993059764925697,0.997366043928624,0.981952969638908,0.888893540241297,0.948775914096762,0.69312206661443,0.88610821461327,0.677157784886588
"d__Bacteria--p__Bacteroidetes--c__Bacteroidia--o__Bacteroidales--f__Prevotellaceae",0.354665645861489,0.116232396219469,0.358844977182206,0.138749510080376,0.406800620467252,0.19592695135901,0.614673180797379,0.313635887008052
"d__Bacteria--p__Actinobacteria--c__Coriobacteriia",0.257502310595755,0.0591924063830396,0.197883748843499,0.0453645112452467,0.406800620467252,0.114513981036325,0.435053182171378,0.210065255489433
"d__Bacteria--p__Actinobacteria--c__Coriobacteriia--o__Coriobacteriales",0.257502310595755,0.0591924063830396,0.197883748843499,0.0453645112452467,0.406800620467252,0.114513981036325,0.435053182171378,0.210065255489433
"d__Bacteria--p__Firmicutes--c__Clostridia--o__Clostridiales--f__Lachnospiraceae--g__Blautia",0.40029936233369,0.190975123219367,0.335535300313884,0.0987511498889651,0.900357450465496,0.480345443726765,0.903272733944685,0.556082752184191
"d__Bacteria--p__Firmicutes--c__Clostridia--o__Clostridiales--f__Lachnospiraceae--g__Blautia--__",0.40029936233369,0.190975123219367,0.335535300313884,0.0987511498889651,0.900357450465496,0.480345443726765,0.903272733944685,0.556082752184191
"d__Bacteria--p__Firmicutes--c__Bacilli",0.517744850821231,0.608373815714285,0.575955794038389,0.559511791769074,0.654128269696311,0.72180796046315,0.715606968031754,0.734701154064568
"d__Bacteria--p__Firmicutes--c__Erysipelotrichia",0.517744850821231,0.287316709231375,0.59521802108456,0.341373242045325,0.948775914096762,0.663026878237941,0.917647270504774,0.609038399641487
"d__Bacteria--p__Firmicutes--c__Erysipelotrichia--o__Erysipelotrichales",0.517744850821231,0.287316709231375,0.59521802108456,0.341373242045325,0.948775914096762,0.663026878237941,0.917647270504774,0.609038399641487
"d__Bacteria--p__Firmicutes--c__Erysipelotrichia--o__Erysipelotrichales--f__Erysipelotrichaceae",0.517744850821231,0.287316709231375,0.59521802108456,0.341373242045325,0.948775914096762,0.663026878237941,0.917647270504774,0.609038399641487
"d__Bacteria--p__Actinobacteria--c__Coriobacteriia--o__Coriobacteriales--f__Coriobacteriaceae",0.279404543441816,0.0634424310454139,0.242271712762062,0.0453645112452467,0.406800620467252,0.164278517807981,0.536604665485784,0.210065255489433
"d__Bacteria--p__Actinobacteria--c__Coriobacteriia--o__Coriobacteriales--f__Coriobacteriaceae--g__Collinsella",0.279404543441816,0.0634424310454139,0.242271712762062,0.0453645112452467,0.406800620467252,0.164278517807981,0.536604665485784,0.210065255489433
"d__Bacteria--p__Actinobacteria--c__Coriobacteriia--o__Coriobacteriales--f__Coriobacteriaceae--g__Collinsella--__",0.279404543441816,0.0634424310454139,0.242271712762062,0.0453645112452467,0.406800620467252,0.164278517807981,0.536604665485784,0.210065255489433
"d__Bacteria--p__Firmicutes--c__Bacilli--o__Lactobacillales",0.517744850821231,0.0634424310454139,0.564679734125132,0.0812384458312375,0.631608059518591,0.114513981036325,0.647052537630669,0.210065255489433
"d__Bacteria--p__Proteobacteria--c__Gammaproteobacteria--o__Betaproteobacteriales",0.257502310595755,0.00875344203362346,0.177512978192493,0.0171918323235334,0.263416336792932,0.0151232934744301,0.234621182955626,0.0113302050940057
"d__Bacteria--p__Proteobacteria--c__Gammaproteobacteria--o__Betaproteobacteriales--f__Burkholderiaceae",0.257502310595755,0.0240443896097816,0.197883748843499,0.0372117795704059,0.263416336792932,0.0357006548936638,0.234621182955626,0.026946621565861
"d__Bacteria--p__Proteobacteria--c__Gammaproteobacteria--o__Enterobacteriales--f__Enterobacteriaceae--__",0.493546741702086,0.518367536106618,0.514548704953512,0.492358125838216,0.927489762121745,0.745072747796388,0.837768464465457,0.739985227664105
"d__Bacteria--p__Proteobacteria--c__Gammaproteobacteria--o__Enterobacteriales--f__Enterobacteriaceae--__--__",0.493546741702086,0.518367536106618,0.514548704953512,0.492358125838216,0.927489762121745,0.745072747796388,0.837768464465457,0.739985227664105
"d__Bacteria--p__Firmicutes--c__Clostridia--o__Clostridiales--f__Lachnospiraceae--g__Ruminococcus_gnavus_group",0.993059764925697,0.929999100767652,0.997016293659738,0.821339321731877,0.948775914096762,0.94103852005273,0.942134803241546,0.978997713270063
"d__Bacteria--p__Firmicutes--c__Clostridia--o__Clostridiales--f__Lachnospiraceae--g__Ruminococcus_gnavus_group--__",0.993059764925697,0.929999100767652,0.997016293659738,0.821339321731877,0.948775914096762,0.94103852005273,0.942134803241546,0.978997713270063
"d__Bacteria--p__Bacteroidetes--c__Bacteroidia--o__Bacteroidales--f__Tannerellaceae",0.859973054413071,0.753292133584511,0.767849669557555,0.717120144988505,0.982120528283542,0.94103852005273,0.974817410519871,0.978997713270063
"d__Bacteria--p__Bacteroidetes--c__Bacteroidia--o__Bacteroidales--f__Tannerellaceae--g__Parabacteroides",0.878882403567745,0.773984728843072,0.825488856017732,0.778827597714816,0.982120528283542,0.965982511566447,0.974817410519871,0.968136933466127
"d__Bacteria--p__Bacteroidetes--c__Bacteroidia--o__Bacteroidales--f__Prevotellaceae--g__Prevotella_9",0.40029936233369,0.267995841253526,0.429616853237563,0.172915559324326,0.555364084675077,0.236315880798361,0.691676710879822,0.352335118566653
"d__Bacteria--p__Bacteroidetes--c__Bacteroidia--o__Bacteroidales--f__Prevotellaceae--g__Prevotella_9--__",0.40029936233369,0.277930310565355,0.429616853237563,0.176384810648123,0.555364084675077,0.236315880798361,0.691676710879822,0.352335118566653
