"","model1_ASC","model1_DES","model2_ASC","model2_DES","model3_ASC","model3_DES","model4_ASC","model4_DES"
"d__Bacteria--p__Firmicutes",0.563936201440798,0.347786779617876,0.222419990334034,0.160466862631238,0.862244097508795,0.602752261329905,0.862376425792455,0.51416468121705
"d__Bacteria--p__Firmicutes--c__Clostridia",0.60818596626567,0.484870627815724,0.216388438072597,0.204810039680795,0.595783559836699,0.530136942337796,0.608452888878647,0.43716440802494
"d__Bacteria--p__Firmicutes--c__Clostridia--o__Clostridiales",0.608299389894853,0.483862786642124,0.216446243111131,0.204285154667632,0.595775808878599,0.529388411430029,0.608545461415062,0.436573012508992
"d__Bacteria--p__Firmicutes--c__Clostridia--o__Clostridiales--f__Lachnospiraceae",0.103142951181564,0.209835832191077,0.0245062173294002,0.0787676113524017,0.155717678243323,0.208951766978032,0.205288147849653,0.193992306968609
"d__Bacteria--p__Bacteroidetes",0.460172548157281,0.617757623061812,0.337988730290705,0.461196743435034,0.54158809822486,0.739949349817926,0.593241751636369,0.676924286166382
"d__Bacteria--p__Bacteroidetes--c__Bacteroidia",0.459386066847627,0.61755751293594,0.337383580045336,0.461035684974112,0.540613422570795,0.739691718713443,0.592306019282817,0.676719314151496
"d__Bacteria--p__Bacteroidetes--c__Bacteroidia--o__Bacteroidales",0.497925903641904,0.622296553932607,0.370641656949861,0.465344527226426,0.585508196584544,0.745181722944529,0.627438158324356,0.679630624173506
"d__Bacteria--p__Bacteroidetes--c__Bacteroidia--o__Bacteroidales--f__Bacteroidaceae",0.852208896395832,0.533094112995825,0.89146456253609,0.764072822516362,0.803168415857675,0.467365141445107,0.753339320570967,0.586990480196222
"d__Bacteria--p__Bacteroidetes--c__Bacteroidia--o__Bacteroidales--f__Bacteroidaceae--g__Bacteroides",0.852208896395832,0.533094112995825,0.89146456253609,0.764072822516362,0.803168415857675,0.467365141445107,0.753339320570967,0.586990480196222
"d__Bacteria--p__Firmicutes--c__Clostridia--o__Clostridiales--f__Lachnospiraceae--__",0.311500267388953,0.702957660212229,0.116165771060897,0.399013100553347,0.286140283592906,0.563783802842254,0.410407718557128,0.477450132044636
