"","model1_ASC_t","model1_DES_t","model2_ASC_t","model2_DES_t","model3_ASC_t","model3_DES_t","model4_ASC_t","model4_DES_t","model1_ASC_P","model1_DES_P","model2_ASC_P","model2_DES_P","model3_ASC_P","model3_DES_P","model4_ASC_P","model4_DES_P","model1_ASC_FDR","model1_DES_FDR","model2_ASC_FDR","model2_DES_FDR","model3_ASC_FDR","model3_DES_FDR","model4_ASC_FDR","model4_DES_FDR"
"d__Bacteria--p__Actinobacteria--c__Coriobacteriia",-2.8009701862018,-3.26848922646918,-2.84515832581444,-3.45088499855528,-2.42802994577145,-2.92298224180645,-2.18867001930558,-2.67008041258709,0.00566828985588139,0.00130297749899773,0.00497820751807545,0.000703938269778107,0.0162559060007527,0.00395694708996223,0.0300980188923595,0.00838662891905263,0.257502310595755,0.0591924063830396,0.197883748843499,0.0453645112452467,0.406800620467252,0.114513981036325,0.435053182171378,0.210065255489433
"d__Bacteria--p__Actinobacteria--c__Coriobacteriia--o__Coriobacteriales",-2.8009701862018,-3.26848922646918,-2.84515832581444,-3.45088499855528,-2.42802994577145,-2.92298224180645,-2.18867001930558,-2.67008041258709,0.00566828985588139,0.00130297749899773,0.00497820751807545,0.000703938269778107,0.0162559060007527,0.00395694708996223,0.0300980188923595,0.00838662891905263,0.257502310595755,0.0591924063830396,0.197883748843499,0.0453645112452467,0.406800620467252,0.114513981036325,0.435053182171378,0.210065255489433
"d__Bacteria--p__Actinobacteria--c__Coriobacteriia--o__Coriobacteriales--f__Coriobacteriaceae",-2.53258212138741,-3.10437854644159,-2.58024702976296,-3.29850737348149,-2.15688043064151,-2.69110811520233,-1.950569243281,-2.42880546436122,0.0122017914107161,0.00222626473086702,0.010707937962947,0.00118256111857623,0.0324624182486973,0.00785944948098812,0.0528890602752251,0.0162851356766138,0.279404543441816,0.0634424310454139,0.242271712762062,0.0453645112452467,0.406800620467252,0.164278517807981,0.536604665485784,0.210065255489433
"d__Bacteria--p__Actinobacteria--c__Coriobacteriia--o__Coriobacteriales--f__Coriobacteriaceae--g__Collinsella",-2.50443106889529,-3.08705466179524,-2.55537892762103,-3.28037681426099,-2.1368462174325,-2.67350025949746,-1.92779751248691,-2.40870241420768,0.0131794595963121,0.00235292117265978,0.0114731967668575,0.00125637942637935,0.0340841692527429,0.00826558580165943,0.0556853898145625,0.0171751466752367,0.279404543441816,0.0634424310454139,0.242271712762062,0.0453645112452467,0.406800620467252,0.164278517807981,0.536604665485784,0.210065255489433
"d__Bacteria--p__Actinobacteria--c__Coriobacteriia--o__Coriobacteriales--f__Coriobacteriaceae--g__Collinsella--__",-2.50443106889529,-3.08705466179524,-2.55537892762103,-3.28037681426099,-2.1368462174325,-2.67350025949746,-1.92779751248691,-2.40870241420768,0.0131794595963121,0.00235292117265978,0.0114731967668575,0.00125637942637935,0.0340841692527429,0.00826558580165943,0.0556853898145625,0.0171751466752367,0.279404543441816,0.0634424310454139,0.242271712762062,0.0453645112452467,0.406800620467252,0.164278517807981,0.536604665485784,0.210065255489433
"d__Bacteria--p__Actinobacteria",-2.18993787852919,-2.8801445066572,-2.32136677765904,-3.04762818804816,-1.94556169381462,-2.37610841862236,-1.68482390359218,-2.16125643487236,0.0298515304409718,0.00447464259357662,0.0214397288371279,0.00267292863699854,0.0534068225900375,0.0186500734328957,0.0940093422521496,0.0322008450255696,0.361075055298802,0.0677588735598745,0.305749794542829,0.0607136647546812,0.459009988746809,0.196297527603194,0.664332685248524,0.301172609356798
"d__Bacteria--p__Firmicutes--c__Negativicutes--o__Selenomonadales--f__Acidaminococcaceae--g__Phascolarctobacterium--__",-2.09006586228755,-2.62476842679064,-2.46858046374122,-2.85563573656316,-2.58057442914043,-2.88003016788184,-2.37258821202239,-2.5729497399924,0.03805730578409,0.00944232040280721,0.0145422966123868,0.00482733135759875,0.0107341865917973,0.00450761526872684,0.0188748401702046,0.0110157098397355,0.369216185106367,0.116232396219469,0.256913906818833,0.0812384458312375,0.406800620467252,0.114513981036325,0.395226952992669,0.210065255489433
"d__Bacteria--p__Bacteroidetes--c__Bacteroidia--o__Bacteroidales--f__Prevotellaceae",-2.22045642405029,-2.62248786281522,-2.06291139855494,-2.53275265111713,-2.06144453740549,-2.46361062263784,-1.78231190776353,-2.1095632531447,0.0276716345189498,0.00950327767832138,0.0406239596810044,0.0122169379944985,0.0408293418643384,0.0147869397252083,0.0766310749120817,0.0364922258468489,0.354665645861489,0.116232396219469,0.358844977182206,0.138749510080376,0.406800620467252,0.19592695135901,0.614673180797379,0.313635887008052
"d__Bacteria--p__Firmicutes--c__Clostridia--o__Clostridiales--f__Lachnospiraceae--g__Blautia",-1.91872927343674,-2.3632814059413,-2.13999603804273,-2.66715416681704,-1.14356421534639,-1.57879451108715,-0.992191876912652,-1.38595041258162,0.0566461361792958,0.0192176224623262,0.0337645585221518,0.00838453159434609,0.254460816470965,0.116310060273462,0.322630643841976,0.167740020118657,0.40029936233369,0.190975123219367,0.335535300313884,0.0987511498889651,0.900357450465496,0.480345443726765,0.903272733944685,0.556082752184191
"d__Bacteria--p__Firmicutes--c__Clostridia--o__Clostridiales--f__Lachnospiraceae--g__Blautia--__",-1.91872927343674,-2.3632814059413,-2.13999603804273,-2.66715416681704,-1.14356421534639,-1.57879451108715,-0.992191876912652,-1.38595041258162,0.0566461361792958,0.0192176224623262,0.0337645585221518,0.00838453159434609,0.254460816470965,0.116310060273462,0.322630643841976,0.167740020118657,0.40029936233369,0.190975123219367,0.335535300313884,0.0987511498889651,0.900357450465496,0.480345443726765,0.903272733944685,0.556082752184191
"d__Bacteria--p__Proteobacteria--c__Gammaproteobacteria--o__Xanthomonadales--f__Rhodanobacteraceae--__",0.360671503675313,-2.19535523273177,0.608161753823716,-2.01275749663389,0.099063228540114,-1.69172536556105,-0.687670434153143,-1.55478830226308,0.718780011121358,0.0294616451114981,0.543882424079039,0.045709139002524,0.921208317782057,0.0925975817444984,0.492675012627127,0.122022904622362,0.942180384632749,0.267995841253526,0.914145098599753,0.283308048069393,0.982120528283542,0.435280454436762,0.942134803241546,0.513667533556779
"d__Bacteria--p__Proteobacteria--c__Gammaproteobacteria--o__Xanthomonadales--f__Rhodanobacteraceae--__--__",0.360671503675313,-2.19535523273177,0.608161753823716,-2.01275749663389,0.099063228540114,-1.69172536556105,-0.687670434153143,-1.55478830226308,0.718780011121358,0.0294616451114981,0.543882424079039,0.045709139002524,0.921208317782057,0.0925975817444984,0.492675012627127,0.122022904622362,0.942180384632749,0.267995841253526,0.914145098599753,0.283308048069393,0.982120528283542,0.435280454436762,0.942134803241546,0.513667533556779
"d__Bacteria--p__Bacteroidetes--c__Bacteroidia--o__Bacteroidales--f__Prevotellaceae--g__Prevotella_9",-1.94421438179942,-2.19487912152527,-1.93402443303735,-2.33578122453878,-1.81343855106432,-2.18724629972523,-1.60145483311651,-1.96663449103967,0.0534730270249556,0.0294963976222435,0.054751518191666,0.0206628655796365,0.0715813552641075,0.0301402287578126,0.11128639515676,0.0509996707097982,0.40029936233369,0.267995841253526,0.429616853237563,0.172915559324326,0.555364084675077,0.236315880798361,0.691676710879822,0.352335118566653
"d__Bacteria--p__Bacteroidetes--c__Bacteroidia--o__Bacteroidales--f__Prevotellaceae--g__Prevotella_9--__",-1.93690010164441,-2.16868717678823,-1.92889001992642,-2.31341013471377,-1.81386724462369,-2.18034145128853,-1.59895741124171,-1.95748786698084,0.054368020237022,0.0314638087432478,0.0553908521469815,0.0218903757895426,0.0715149964433686,0.0306571404180829,0.111840603578564,0.052074687335323,0.40029936233369,0.277930310565355,0.429616853237563,0.176384810648123,0.555364084675077,0.236315880798361,0.691676710879822,0.352335118566653
"d__Bacteria--p__Proteobacteria--c__Gammaproteobacteria--o__Xanthomonadales",0.247585034354834,-2.14402220533234,0.490804897127491,-1.95388119698719,0.034581764761268,-1.63760628232282,-0.744103536146221,-1.41428910678658,0.804745737141817,0.0334193145763558,0.62419004461733,0.0523466016628459,0.972455041883904,0.103421160559619,0.457926070239993,0.159269750196818,0.984265940042684,0.283670942763047,0.916503932531156,0.283308048069393,0.982120528283542,0.444431473756201,0.939487034427858,0.550519353941175
"d__Bacteria--p__Proteobacteria--c__Gammaproteobacteria--o__Xanthomonadales--f__Rhodanobacteraceae",0.330229482742417,-2.1151345751427,0.57593889115962,-1.91964895551908,0.117684161306313,-1.5864260157179,-0.688195529654223,-1.37177963674369,0.741621564075011,0.0358421399454162,0.565409296663628,0.0565670525236698,0.906461051904718,0.114568931583829,0.492345234010402,0.172101670426844,0.942180384632749,0.283670942763047,0.914145098599753,0.283308048069393,0.982120528283542,0.480345443726765,0.942134803241546,0.558452359140167
"d__Bacteria--p__Firmicutes--c__Clostridia--o__Clostridiales--f__Ruminococcaceae--g__Eubacterium_coprostanoligenes_group",-2.17914514653564,-2.09619602209727,-2.1010272280991,-2.05627237995428,-1.60925981691316,-1.74558613067784,-1.7084490959265,-1.94269773512114,0.030657316015936,0.0375112682552755,0.0370960792112357,0.0412757771210421,0.109471143351156,0.0827556858701777,0.089529281936319,0.0538534603080964,0.361075055298802,0.283670942763047,0.357471308762816,0.283308048069393,0.654128269696311,0.424456582366395,0.647052537630669,0.356779174541139
"d__Bacteria--p__Firmicutes--c__Clostridia--o__Clostridiales--f__Ruminococcaceae--g__Ruminiclostridium_5",-1.24188682933953,-2.03769494643584,-1.30889687528147,-1.97705569657016,-1.26152836993873,-2.50150212493006,-1.37077421686536,-3.05048871656686,0.215940121988175,0.043094755293836,0.192315349331828,0.0496428146173696,0.208899092244217,0.0133475684747803,0.172401834197706,0.00268546761953151,0.65509521088227,0.283670942763047,0.59521802108456,0.283308048069393,0.830373891670762,0.19592695135901,0.806232106983388,0.170795740602204
"d__Bacteria--p__Firmicutes--c__Clostridia--o__Clostridiales--f__Ruminococcaceae--g__Ruminococcaceae_NK4A214_group",-1.76153052564422,-2.02011706241921,-1.72338149161038,-2.16004258720091,-1.96742479845679,-2.32995691372996,-2.3247953337282,-2.61305048034106,0.0798949180529515,0.0449050702737879,0.0866165936320193,0.0321617326318865,0.050810717295245,0.0210267922149409,0.0213636624860446,0.00985170248855801,0.479369508317709,0.283670942763047,0.510302265752177,0.237847232021858,0.459009988746809,0.202621815889431,0.395226952992669,0.210065255489433
